atom,peak,crop dimension,cropped area,integral average,integral,
1,148,10*11,110,57.49090909,6324,atom starting 29 are from frame 10
2,154,10*9,90,50.38888889,4535,
3,135,11*9,99,50.27272727,4977,
4,151,9*8,72,62.125,4473,
5,151,8*7,56,70.32142857,3938,
6,145,10*9,90,82.93333333,7464,
7,162,8*7,56,64.25,3598,
8,128,14*11,154,33.70779221,5191,
9,145,12*11,132,63.76515152,8417,
10,132,9*9,81,48.24691358,3908,
11,124,11*11,121,38.71900826,4685,
12,173,8*9,72,60.18055556,4333,
13,148,12*13,156,43.90384615,6849,
14,131,13*14,182,59.68681319,10863,
15,133,11*12,132,69.6969697,9200,
16,131,16*15,240,52.66666667,12640,
17,168,9*8,72,75.75,5454,
18,154,10*9,90,72.5,6525,
19,141,9*9,81,71.30864198,5776,
20,170,13*12,156,77.22435897,12047,
21,131,13*12,156,65.96153846,10290,
22,117,12*10,120,30.38333333,3646,
23,113,8*7,56,47.25,2646,
24,149,11*10,110,67.97272727,7477,
25,117,12*11,132,41.12121212,5428,
26,141,9*8,72,46.15277778,3323,
27,118,9*9,81,46.04938272,3730,
28,101,10*10,100,22.05,2205,
29,134,10*10,100,67.63,6763,
30,150,8*8,64,91.09375,5830,
31,163,10*8,80,89.3125,7145,
32,208,8*8,64,104.765625,6705,
33,203,9*8,72,123.0138889,8857,
34,117,9*7,63,46.63492063,2938,
35,174,11*10,110,98.94545455,10884,
36,194,8*8,64,106.28125,6802,
37,160,10*8,80,91.3875,7311,
38,203,9*8,72,123.0138889,8857,
